2022-07-01 10:14:44,077 DEBUG    decos.py Была вызвана функция message_from_server c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, 'Alex'), {}.Вызов из модуля __main__.Вызов из функции self._bootstrap_inner().Вызов из функции run@@@Вызов из функции run@@@вызов из модуля threading.py
2022-07-01 10:14:44,269 DEBUG    decos.py Была вызвана функция user_interactive c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51498), raddr=('127.0.0.1', 7777)>, 'Alex'), {}.Вызов из модуля __main__.Вызов из функции self._bootstrap_inner().Вызов из функции run@@@Вызов из функции run@@@вызов из модуля threading.py
2022-09-09 12:43:00,593 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1662709380.5779371, 'user': {'account_name': 'test1'}}), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции connection_init@@@Вызов из функции connection_init@@@вызов из модуля transport.py
2022-09-09 12:43:00,607 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции connection_init@@@Вызов из функции connection_init@@@вызов из модуля transport.py
2022-09-09 12:43:00,608 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1662709380.607562, 'account_name': 'test1'}), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции user_list_update@@@Вызов из функции user_list_update@@@вызов из модуля transport.py
2022-09-09 12:43:01,111 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции user_list_update@@@Вызов из функции user_list_update@@@вызов из модуля transport.py
2022-09-09 12:43:01,125 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1662709381.124937, 'user': 'test1'}), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции contacts_list_update@@@Вызов из функции contacts_list_update@@@вызов из модуля transport.py
2022-09-09 12:43:01,620 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции 'test1').Вызов из функции contacts_list_update@@@Вызов из функции contacts_list_update@@@вызов из модуля transport.py
2022-09-09 12:43:08,435 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1662709388.43435, 'account_name': 'test1'}), {}.Вызов из модуля common.utils.Вызов из функции app.exec_().Вызов из функции user_list_update@@@Вызов из функции user_list_update@@@вызов из модуля transport.py
2022-09-09 12:43:08,630 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 47594), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.Вызов из функции app.exec_().Вызов из функции user_list_update@@@Вызов из функции user_list_update@@@вызов из модуля transport.py
